"track_name","artist(s)_name","artist_count","in_spotify_playlists","in_spotify_charts","streams","in_apple_playlists","in_deezer_charts","bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%"
"Perfect","Ed Sheeran","1","16596","13","2559529074","7","0","95","60","17","45","16","0","11","2"
"Romantic Homicide","d4vd","1","2335","23","681583126","82","0","132","56","20","55","45","1","32","3"
"Believer","Imagine Dragons","1","18986","23","2594040133","250","10","125","77","74","78","4","0","23","11"
"Novo Balan�","Veigh, Bvga Beatz, Supernova Ent, Prod Malax","4","283","7","81102253","6","1","124","84","65","50","67","0","13","6"
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900","2","293","8","11956641","5","2","133","93","68","65","42","0","12","25"
"Without Me","Eminem","1","21081","43","1687664027","98","5","112","92","67","66","0","0","36","9"
"QUEMA","Sog, Ryan Castro, Peso Pluma","3","437","31","11599388","17","3","97","79","92","89","5","0","6","5"
"Stargirl Interlude","The Weeknd, Lana Del Rey","2","1275","32","611700552","13","0","90","59","52","48","38","5","10","11"
"Ojitos Lindos","Bomba Est��reo, Bad B","2","6135","38","1133865788","71","13","80","65","27","69","8","0","53","4"
"Somewhere Only We Know","Keane","1","20015","16","1089402494","107","0","172","45","33","59","6","0","8","3"
"Those Eyes","New West","1","1507","14","411747614","24","1","120","60","24","35","73","0","31","3"
"El Gordo Trae El Mando","Chino Pacas","1","539","21","255932395","7","2","140","74","96","80","18","0","5","5"
"Mi Bello Angel","Natanael Cano","1","86","8","31873544","7","1","128","81","90","77","1","0","9","5"
"Bye","Peso Pluma","1","324","14","95053634","13","2","122","78","70","81","57","0","10","5"
"Danza Kuduro","Don Omar, Lucenzo","2","17138","37","1279434863","119","1","130","47","86","92","8","0","5","24"
"Nosso Quadro","Ana Castela, AgroPlay","2","894","9","233801632","14","3","160","69","61","71","33","0","31","20"
"Locked Out Of Heaven","Bruno Mars","1","1622","9","1481349984","0","0","144","73","87","70","6","0","28","5"
"Un Finde | CROSSOVER #2","Big One, FMK, Ke personajes","3","561","14","142095275","4","5","192","50","85","52","11","0","28","6"
"Jimmy Cooks (feat. 21 Savage)","Drake, 21 Savage","2","5871","27","618885532","81","1","163","54","40","67","0","0","9","17"
"Counting Stars","OneRepublic","1","29215","43","2011464183","179","11","122","66","48","71","6","0","12","4"
"Ghost","Justin Bieber","1","5866","24","1167330737","107","0","154","61","41","74","21","0","40","6"
"Under The Influence","Chris Brown","1","3859","26","929964809","133","0","117","73","31","69","6","0","11","4"
"PRC","Natanael Cano, Peso Pluma","2","961","26","436027885","19","6","138","78","89","83","10","0","12","5"
"Gasolina","Daddy Yankee","1","6457","18","657723613","98","0","96","86","74","80","33","0","8","6"
"One Dance","Drake, WizKid, Kyla","3","43257","24","2713922350","433","0","104","77","36","63","1","0","36","5"
"Enchanted","Taylor Swift","1","4564","16","621660989","24","0","164","45","24","62","8","0","16","3"
"Save Your Tears","The Weeknd","1","12688","13","1591223784","197","0","118","68","61","82","2","0","50","3"
"Sure Thing","Miguel","1","13801","19","950906471","137","6","81","68","51","60","3","0","19","10"
"Every Breath You Take - Remastered 2003","The Police","1","22439","19","1593270737","211","0","117","82","73","45","54","0","7","3"
"The Night We Met","Lord Huron","1","18515","35","1410088830","70","1","174","45","10","37","97","25","64","4"
"We Found Love","Rihanna, Calvin Harris","2","36843","21","1235005533","321","1","128","73","60","77","3","0","11","4"
"When I Was Your Man","Bruno Mars","1","2420","11","1661187319","0","0","145","60","43","27","94","0","14","4"
"Let Me Down Slowly","Alec Benjamin","1","5897","19","1374581173","0","0","150","65","51","55","73","0","14","3"
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee","3","727","16","94186466","17","1","90","60","13","53","4","0","21","4"
"Do I Wanna Know?","Arctic Monkeys","1","33783","26","1788326445","133","1","85","55","42","53","17","0","22","3"
"Demons","Imagine Dragons","1","26694","13","1840364617","65","4","180","33","38","71","20","0","28","5"
"������������","YOASOBI","1","356","16","143573775","35","1","166","57","84","94","11","0","37","9"
"Reminder","The Weeknd","1","6518","17","684675814","45","1","160","71","40","50","16","0","16","22"
"Shake It Off","Taylor Swift","1","21335","13","1113838873","328","9","160","65","95","80","5","0","41","16"
"Why'd You Only Call Me When You're High?","Arctic Monkeys","1","23389","29","1267333350","54","2","92","70","81","63","4","0","8","4"
"SNAP","Rosa Linn","1","3202","18","726307468","148","24","170","56","53","64","11","0","45","6"
"Shape of You","Ed Sheeran","1","32181","10","3562543890","33","7","96","83","93","65","58","0","9","8"
"Night Changes","One Direction","1","7124","18","1131090940","60","0","120","67","40","52","86","0","12","4"
"Fin de Semana","Oscar Maydon, Junior H","2","592","14","307370144","11","1","98","70","37","54","6","0","9","8"
"Creep","Radiohead","1","36724","7","1271293243","146","5","92","53","12","34","1","0","12","4"
"Car's Outside","James Arthur","1","794","10","265882712","38","0","150","34","24","56","4","0","11","3"
"Apocalypse","Cigarettes After Sex","1","13091","17","841749534","61","2","94","37","17","47","2","46","11","3"
"Cheques","Shubh","1","67","8","47956378","7","0","90","74","36","63","26","0","27","5"
"Pink + White","Frank Ocean","1","21574","30","806397070","112","1","160","54","54","55","67","0","42","11"
"Circles","Post Malone","1","19664","16","2132335812","391","3","120","70","59","75","24","0","9","4"
"Just The Way You Are","Bruno Mars","1","21106","13","1641426668","82","0","109","63","46","85","1","0","9","5"
"Take Me To Church","Hozier","1","23804","31","2135158446","187","1","129","57","41","66","63","0","12","5"
"Bebe Dame","Fuerza Regida, Grupo Frontera","2","849","22","367316268","27","7","157","54","75","60","30","0","7","5"
"You Belong With Me (Taylor���s Ve","Taylor Swift","1","2619","12","350381515","47","0","130","63","49","73","5","0","9","3"
"Titi Me Pregunt�","Bad Bunny","1","9037","42","1264310836","124","14","107","65","19","72","10","0","13","25"
"Better Than Revenge (Taylor's Version)","Taylor Swift","1","86","11","30343206","3","0","146","50","67","89","0","0","19","8"
"Shut up My Moms Calling","Hotel Ugly","1","1788","14","405136812","1","0","139","48","37","41","32","0","10","10"
"Have You Ever Seen The Rain?","Creedence Clearwater Revival","1","15890","14","1145727611","71","0","116","74","76","70","7","0","13","3"
"Es un Secreto","Plan B","1","492","36","540654286","4","0","95","84","52","77","12","0","7","4"
"POLARIS - Remix","Feid, Mora, Saiko, Quevedo","4","773","33","57312735","20","8","170","62","55","80","15","0","37","7"
"Ditto","NewJeans","1","1154","22","397582059","28","1","134","81","18","64","3","0","10","11"
"Take On Me","a-ha","1","44927","17","1479115056","34","6","84","57","86","90","2","0","9","5"
